dimension_id,dimension,item_id,check_name,check_scope,status,location,issue_summary,remediation,evidence_path,reviewer,reviewed_at,basis_level
L1,AI新规与使用合规,L1-01,核心建模人工主导与可追溯,核对模型选择变量假设公式阈值和结论边界的队员决策与核验记录,NOT_REVIEWED,,,,,,,THIRD_PARTY_SUPPLEMENT_CHECK_OFFICIAL_RULES
L1,AI新规与使用合规,L1-02,核心写作人工复核,检查摘要建模分析结果和结论是否结合真实数据决策理由与局限,NOT_REVIEWED,,,,,,,THIRD_PARTY_SUPPLEMENT
L1,AI新规与使用合规,L1-03,AI声明真实性匹配,比对论文声明AI详情使用日志附件和实际产物,NOT_REVIEWED,,,,,,,OFFICIAL_RULE_CROSS_CHECK
L1,AI新规与使用合规,L1-04,AI输出人工核验记录,确认AI辅助代码推导文字图表建议和引用有运行原文或队员核验,NOT_REVIEWED,,,,,,,OFFICIAL_RULE_CROSS_CHECK
L2,AI幻觉与数据真实性,L2-01,原始数据真实性,核对数据来源原始哈希附件清单和外部数据授权,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L2,AI幻觉与数据真实性,L2-02,文献与结论真实性,核验题名作者年份出处DOI正式链接和原文支持范围,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L2,AI幻觉与数据真实性,L2-03,图表数值匹配,重建关键图表并核对论文数字公式计算结果底表和图后结论,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L2,AI幻觉与数据真实性,L2-04,逻辑因果真实性,区分相关预测机制和因果并排查越过证据范围的结论,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L3,建模逻辑与题意适配,L3-01,题意理解准确,逐问比对背景动作对象输入输出评价口径和硬约束,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L3,建模逻辑与题意适配,L3-02,建模逻辑自洽,检查假设变量公式推导代码和求解流程是否同一口径,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L3,建模逻辑与题意适配,L3-03,全子问题闭环,确认每个子问有模型或分析结果验证和明确回答且前后问正确衔接,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L3,建模逻辑与题意适配,L3-04,模型选型适配,检查方法是否适合样本量数据结构标签质量约束和解释要求,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L3,建模逻辑与题意适配,L3-05,约束条件纳入,映射题面关键边界资源物理时间空间和业务约束,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L4,模型求解与结果合理性,L4-01,结果常识合理,结合量纲理论边界行业常识极端场景和基线检查异常数值,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L4,模型求解与结果合理性,L4-02,求解方法适配,核对求解器优化估计收敛数据划分和指标是否与模型匹配,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L4,模型求解与结果合理性,L4-03,参数取值有依据,核对关键参数来自题目数据文献预注册方案或灵敏度分析,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L5,写作规范与全文呼应,L5-01,摘要合规与核数,按当届官方规则检查页面字数方法量化结果贡献和关键词并反向追数,NOT_REVIEWED,,,,,,,THIRD_PARTY_SUPPLEMENT_CHECK_OFFICIAL_RULES
L5,写作规范与全文呼应,L5-02,全文结构完整,核对论文各适用模块并以当届官方模板为准,NOT_REVIEWED,,,,,,,THIRD_PARTY_SUPPLEMENT_CHECK_OFFICIAL_RULES
L5,写作规范与全文呼应,L5-03,核心检验完整且适用,按题型检查误差不确定性灵敏度稳健性消融替代模型和随机重复,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
L5,写作规范与全文呼应,L5-04,内容前后呼应,核对摘要正文表图结果表和结论的数字口径与证据,NOT_REVIEWED,,,,,,,SCIENTIFIC_QA
